,AvgRating,GameName,GameRank,GeekRating,ListPrice,NumVoters
1703,"
			7.42		",BattleLore: Goblin Skirmishers Specialist Pack,"
						N/A			
					","
			6.087		","
			List: $19.95
		","
			546		"
1704,"
			6.18		",Criminals,"
						N/A			
					","
			N/A		","]
					","
			19		"
1705,"
			7.08		",Vexation,"
						N/A			
					","
			6.084		","
														
													[","
			706		"
1706,"
			7.65		",Flash Point: Fire Rescue – Dangerous Waters,"
						N/A			
					","
			6.230		","]
					","
			645		"
1707,"
			6.20		",Solo Dungeon Crawl,"
						N/A			
					","
			N/A		","]
					","
			7		"
1708,"
			3.20		",Silhouette,"
						N/A			
					","
			N/A		","]
					","
			10		"
1709,"
			7.82		",For the Crown: Shock & Awe  Expansion 1,"
						N/A			
					","
			5.560		","
","
			33		"
1710,"
			7.30		",Alhambra: Family Box,"
						N/A			
					","
			5.968		","]
					","
			447		"
1711,"
			7.83		",Carcassonne Big Box 4,"
						N/A			
					","
			6.475		","]
					","
			1022		"
1712,"
			6.79		",London Underground (fan expansion to Ticket to Ride),"
						N/A			
					","
			N/A		","]
					","
			21		"
1713,"
			6.20		",Pixel Lincoln: Twenty-One,"
						N/A			
					","
			N/A		","]
					","
			10		"
1714,"
			7.63		",Star Wars: The Card Game – Escape from Hoth,"
						N/A			
					","
			5.760		","
			List: $14.99
		","
			190		"
1715,"
			7.96		",The Lord of the Rings: The Card Game – The Morgul Vale,"
						N/A			
					","
			5.866		","
			List: $14.99
		","
			232		"
1716,"
			8.08		",Legends of Andor: Journey to the North,"
						N/A			
					","
			6.477		","
			List: $49.95
		","
			826		"
1717,"
			6.83		",Aether Magic,"
						N/A			
					","
			N/A		","]
					","
			6		"
1718,"
			7.67		",Heart of Crown: Fairy Garden,"
						N/A			
					","
			N/A		","]
					","
			24		"
1719,"
			7.65		",Room 25: Season 2,"
						N/A			
					","
			6.258		","
","
			714		"
1720,"
			7.91		",The Lord of the Rings: The Card Game – Trouble in Tharbad,"
						N/A			
					","
			5.762		","
			List: $14.99
		","
			161		"
1721,"
			4.88		",Shuffle Dice,"
						N/A			
					","
			N/A		","
","
			12		"
1722,"
			8.43		",Viticulture: Complete Collector's Edition,"
						N/A			
					","
			6.556		","]
					","
			702		"
1723,"
			7.86		",Star Trek: Fleet Captains – Dominion,"
						N/A			
					","
			5.839		","
","
			215		"
1724,"
			6.80		",Challenge Sudoku / Kakuro Challenge,"
						N/A			
					","
			N/A		","]
					","
			1		"
1725,"
			4.88		",Dragon Line,"
						N/A			
					","
			N/A		","]
					","
			22		"
1726,"
			N/A		",Fall Schematic: The Cooperative Card Game,"
						N/A			
					","
			N/A		","]
					","
			N/A		"
1727,"
			7.35		",Star Realms: BGG Store Promo Set One,"
						N/A			
					","
			5.700		","]
					","
			159		"
1728,"
			7.48		",1834,"
						N/A			
					","
			N/A		","]
					","
			11		"
1729,"
			7.58		",Memoir '44: Air Pack,"
						N/A			
					","
			6.486		","]
					","
			1179		"
1730,"
			6.84		",Mercenary Air Squadron,"
						N/A			
					","
			N/A		","]
					","
			16		"
1731,"
			7.28		",Legends of the Ancient World: Orcs of the High Mountains,"
						N/A			
					","
			N/A		","]
					","
			20		"
1732,"
			7.83		",War Rocket:  Space Battles in the Atomic Age,"
						N/A			
					","
			N/A		","]
					","
			18		"
1733,"
			6.54		",Carcassonne: The Plague,"
						N/A			
					","
			5.717		","]
					","
			336		"
1734,"
			7.22		",Gosu: Kamakor,"
						N/A			
					","
			5.819		","
			List: $29.99
		","
			316		"
1735,"
			6.95		",The Battle of Stalingrad,"
						N/A			
					","
			N/A		","
","
			25		"
1736,"
			6.44		",Magnificent Flying Machines,"
			10302			
					","
			5.534		","]
					","
			62		"
1737,"
			5.72		",Pie Factory,"
			10314			
					","
			5.534		","
","
			276		"
1738,"
			6.47		",Neon Gods,"
			10330			
					","
			5.534		","
			List: $59.95
		","
			53		"
1739,"
			6.01		",The Kingdoms of Crusaders,"
			10331			
					","
			5.534		","]
					","
			127		"
1740,"
			5.65		",Lionheart,"
			10342			
					","
			5.534		","]
					","
			840		"
1741,"
			6.41		","Red God of War: The Soviet Operation Mars, 1942","
			10349			
					","
			5.534		","]
					","
			61		"
1742,"
			6.05		",Elfengold,"
			10356			
					","
			5.534		","]
					","
			107		"
1743,"
			5.75		",This Game is Bonkers!,"
			10362			
					","
			5.534		","]
					","
			500		"
1744,"
			6.06		",Cité,"
			10364			
					","
			5.534		","]
					","
			118		"
1745,"
			8.03		",Diceborn Heroes,"
			10370			
					","
			5.534		","]
					","
			35		"
1746,"
			6.58		",Prince of Chaos: Battle for Tae Orn,"
			10375			
					","
			5.534		","
","
			55		"
1747,"
			6.38		",Crossword Pyramids,"
			10382			
					","
			5.534		","]
					","
			52		"
1748,"
			6.28		",North Pole,"
			10385			
					","
			5.534		","]
					","
			64		"
1749,"
			6.87		",Dungeon Plungin',"
			10388			
					","
			5.534		","]
					","
			45		"
1750,"
			5.92		",Terakh: A Creative Strategy Game,"
			10390			
					","
			5.534		","]
					","
			136		"
1751,"
			6.84		",Bloody Buna,"
			10392			
					","
			5.534		","]
					","
			37		"
1752,"
			7.13		",Aether Captains: Pirates and Traders,"
			10395			
					","
			5.534		","]
					","
			34		"
1753,"
			8.29		",Eclipse: Shadow of the Rift,"
						N/A			
					","
			6.473		","
			List: $49.99
		","
			696		"
1754,"
			8.43		",War of the Ring: Warriors of Middle-earth,"
						N/A			
					","
			6.290		","
","
			511		"
1755,"
			7.58		",Orléans: Neue Ortskarten N°1,"
						N/A			
					","
			5.851		","]
					","
			247		"
1756,"
			8.69		",Laruna: Age of Kingdoms,"
						N/A			
					","
			N/A		","]
					","
			5		"
1757,"
			7.74		",Taluva Extension,"
						N/A			
					","
			5.583		","]
					","
			52		"
1758,"
			7.88		",Neuroshima Hex! Iron Gang,"
						N/A			
					","
			5.646		","]
					","
			87		"
1759,"
			6.70		",Albedo,"
						N/A			
					","
			N/A		","]
					","
			28		"
1760,"
			6.87		",Conspiracy Theory,"
						N/A			
					","
			N/A		","]
					","
			15		"
1761,"
			N/A		",State Fair: Ferris Wheel KnockOut,"
						N/A			
					","
			N/A		","
","
			N/A		"
1762,"
			8.08		",Race for the Galaxy: The Gathering Storm,"
						N/A			
					","
			7.752		","
","
			8975		"
1763,"
			7.72		",Dungeon Twister: Forces of Darkness,"
						N/A			
					","
			5.945		","
														
													[","
			319		"
1764,"
			5.41		",Stonehenge: An Anthology Board Game,"
						N/A			
					","
			5.465		","
","
			465		"
1765,"
			7.99		",Dice Forge: Rebellion,"
						N/A			
					","
			5.724		","]
					","
			139		"
1766,"
			8.12		",Chronicles of Crime: Welcome to Redview,"
						N/A			
					","
			5.574		","]
					","
			38		"
1767,"
			6.60		",One-Minute Bulge,"
						N/A			
					","
			N/A		","]
					","
			5		"
1768,"
			6.67		",The Razor's Edge,"
						N/A			
					","
			N/A		","]
					","
			3		"
1769,"
			7.46		",Francis Drake: The Expansions,"
						N/A			
					","
			5.701		","
","
			149		"
1770,"
			7.85		",Lancaster: Big Box,"
						N/A			
					","
			6.000		","
			List: $89.50
		","
			338		"
1771,"
			7.23		",Warhammer: The End Times – Nagash,"
						N/A			
					","
			N/A		","]
					","
			11		"
1772,"
			8.03		",Exodus: Edge of Extinction,"
						N/A			
					","
			5.916		","]
					","
			243		"
1773,"
			5.86		",Achtung! Cthulhu: The Secret War,"
						N/A			
					","
			N/A		","]
					","
			7		"
1774,"
			7.86		",Descent: Journeys in the Dark (Second Edition) – Nature's Ire,"
						N/A			
					","
			5.913		","
			List: $14.95
		","
			298		"
1775,"
			6.97		",Suburbia 5★,"
						N/A			
					","
			5.942		","
			List: $29.99
		","
			551		"
1776,"
			8.02		",Stockpile: Continuing Corruption,"
						N/A			
					","
			6.315		","<a class=""ulprice"" href=""https://itunes.apple.com/us/app/stockpile-game/id1410674432?uo=4&amp;mt=8&amp;at=10lazE"" target=""_blank"">iOS App: <span class=""positive"">$4.99</span></a>","
			591		"
1777,"
			9.33		",H.E.A.D. Hunters: Starter Pack,"
						N/A			
					","
			N/A		","]
					","
			3		"
1778,"
			8.19		",Star Wars: The Card Game – Ancient Rivals,"
						N/A			
					","
			5.555		","
			List: $7.26
		","
			31		"
